faq_id,uuid,service_id,question,answer,short_answer,category,language,created_at
25,5fbde8e6-f6aa-4a71-aa37-163d4e7dc17e,1,Issue of Fresh Passport:,What are the various Passport services and which form should be filled in?,What are the various Passport services and which form should be filled in?,passport,en,2025-10-13 04:51:08.929957+05:30
26,6226aadb-56e6-4ba0-a632-a525ac90b37a,1,link,What is Global Entry Program (GEP)?,What is Global Entry Program (GEP)?,passport,en,2025-10-13 04:51:08.929957+05:30
27,db52aabd-cb6b-49ed-ae3f-58c29518f0b9,1,(GOES),How do I apply for a Background Verification for GEP?,How do I apply for a Background Verification for GEP?,passport,en,2025-10-13 04:51:08.929957+05:30
28,e3b9967b-64c4-4cfe-a126-19488b19182d,1,Steps to Apply for Background Verification of GEP,Do I need to visit PSK to submit my Background Verification for GEP application?,Do I need to visit PSK to submit my Background Verification for GEP application?,passport,en,2025-10-13 04:51:08.929957+05:30
29,29d43bf9-5b14-4cf7-918e-eb16e4639588,1,click here,Is it mandatory to submit Birth Certificate for applicants who are born on or after 26.01.1989?,Is it mandatory to submit Birth Certificate for applicants who are born on or after 26.01.1989?,passport,en,2025-10-13 04:51:08.929957+05:30
30,ed4070cc-66fd-42d4-bfd3-e4b68c04fb8c,1,"request may also be refused, if not found in order.",What are the requirements /documents needed for getting the date of birth/place of birth changed in my Passport?,What are the requirements /documents needed for getting the date of birth/place of birth changed in my Passport?,passport,en,2025-10-13 04:51:08.929957+05:30
31,98ac2467-078f-49dc-86d5-82cc47da8a24,1,Click here,Can I use Passbook/statement of banks as a proof of address?,Can I use Passbook/statement of banks as a proof of address?,passport,en,2025-10-13 04:51:08.929957+05:30
58,4c7ef4df-a87c-4d3f-a95b-554aa41340cc,1,What is the last date for filing ITR?,"The deadline is usually July 31st for individuals and September 30th for businesses, subject to extensions.",,deadline,en,2025-10-13 11:23:58.808868+05:30
32,ad8e61a4-9f1a-4075-b689-f2c820150170,1,How long does it take to get a passport?,Normal processing takes 30-45 days from the date of application. Tatkal service is available for urgent cases and takes 3-7 days.,,general,en,2025-10-13 11:23:58.808868+05:30
33,705dd52b-1df2-4b34-9c27-89950155cebc,1,What documents are required for passport application?,"You need proof of identity (Aadhaar, PAN), proof of address (utility bills, rent agreement), and date of birth proof (birth certificate, school certificate).",,documents,en,2025-10-13 11:23:58.808868+05:30
34,d77f7bc9-a9b1-476f-a299-63ae4d982459,1,Can I track my passport application status?,"Yes, you can track your application status online using your file number on the Passport Seva portal.",,tracking,en,2025-10-13 11:23:58.808868+05:30
35,55651823-a098-4d08-a178-d5c9d4fe4d82,1,What is the passport application fee?,"For adults, the fee is Rs. 1,500 for normal processing and Rs. 3,500 for Tatkal. For minors, it's Rs. 1,000 and Rs. 2,000 respectively.",,fees,en,2025-10-13 11:23:58.808868+05:30
36,7ecfe743-34ac-4a02-93fa-9360e59bee7c,1,How do I renew my expired passport?,You can renew your passport online through the Passport Seva portal. The process is similar to new application but simpler.,,renewal,en,2025-10-13 11:23:58.808868+05:30
37,77b78c5b-a47e-4206-81c3-0de0aecb4954,2,How can I update my Aadhaar details?,You can update your Aadhaar details online through the UIDAI portal or by visiting an Aadhaar enrollment center.,,update,en,2025-10-13 11:23:58.808868+05:30
38,fce9e7eb-01f2-4c59-b5f4-8b7203bf24b8,2,Is Aadhaar mandatory for all citizens?,"While not legally mandatory, Aadhaar is required for many government services, subsidies, and benefits.",,general,en,2025-10-13 11:23:58.808868+05:30
39,a38d64d2-26ae-42a3-92be-92779a0ef1d4,2,How do I download my e-Aadhaar?,"Visit the UIDAI website, enter your Aadhaar number and OTP, and download your e-Aadhaar PDF.",,download,en,2025-10-13 11:23:58.808868+05:30
40,cf9d026b-567e-4f30-9705-edc26b3c6ec0,2,What is Aadhaar masking?,Aadhaar masking hides the first 8 digits of your Aadhaar number for privacy. Only the last 4 digits are visible.,,privacy,en,2025-10-13 11:23:58.808868+05:30
41,94a06eba-1021-43d9-bb33-44d189fd5188,2,Can I link my mobile number to Aadhaar?,"Yes, you can link your mobile number by visiting an Aadhaar center or using the OTP-based online service.",,linking,en,2025-10-13 11:23:58.808868+05:30
42,a78fdf33-5c53-4674-b9bb-48e7862010ac,3,How do I apply for a new PAN card?,You can apply online through the NSDL or UTIITSL websites by filling Form 49A and submitting required documents.,,application,en,2025-10-13 11:23:58.808868+05:30
4,af681ff9-d7a1-4a32-bdce-383039a06559,2,How to apply for aadhaar?,Use the aadhaar portal and submit required documents.,Use the aadhaar portal and submit required documents.,aadhaar,en,2025-10-08 14:44:00.628368+05:30
43,ebc74d52-be49-4b9d-8c12-404f5689650c,3,What is the PAN card application fee?,"The fee is Rs. 107 for Indian addresses and Rs. 1,020 for foreign addresses.",,fees,en,2025-10-13 11:23:58.808868+05:30
44,e383d682-9272-4ba9-aa48-04b9b18a9160,3,How long does it take to receive a PAN card?,It typically takes 15-20 days to receive your PAN card at your registered address.,,timeline,en,2025-10-13 11:23:58.808868+05:30
45,993fa2a6-5ea9-41ba-a2cf-bf20f89bc911,3,Can I have multiple PAN cards?,"No, having multiple PAN cards is illegal. Each person can have only one PAN.",,general,en,2025-10-13 11:23:58.808868+05:30
7,74856465-29c3-4aa1-bd6a-7d19535d1043,3,How to apply for pan?,Use the pan portal and submit required documents.,Use the pan portal and submit required documents.,pan,en,2025-10-08 14:44:00.628368+05:30
